matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8355188641,200,WIN,984795,16.41,8,5,0,6,9,8,5,1,2
KR_8349819732,100,WIN,912377,15.21,1,1,2,4,18,5,0,3,1
KR_8349819732,200,LOSE,912377,15.21,1,3,1,4,51,2,4,0,1
KR_8353972020,100,WIN,930954,15.52,1,5,2,4,15,5,1,3,0
KR_8353972020,200,LOSE,930954,15.52,4,1,1,4,14,5,1,0,2
KR_8353924006,100,WIN,679579,11.33,2,0,1,1,6,1,0,0,1
KR_8353924006,200,LOSE,679579,11.33,0,3,1,0,13,1,1,3,0
KR_8352720856,100,LOSE,782476,13.04,1,2,0,2,6,0,2,3,1
KR_8352720856,200,WIN,782476,13.04,0,1,0,1,11,4,0,0,1
KR_8349106255,100,WIN,989001,16.48,3,3,1,2,53,3,1,3,1
KR_8349106255,200,LOSE,989001,16.48,0,3,3,4,19,2,4,0,0
KR_8347118210,100,LOSE,855686,14.26,3,6,1,3,15,0,1,3,1
KR_8347118210,200,WIN,855686,14.26,5,3,1,1,28,4,3,0,1
KR_8346161118,100,WIN,874433,14.57,2,1,1,2,49,3,1,3,1
KR_8346161118,200,LOSE,874433,14.57,1,2,0,2,15,3,3,0,0
KR_8346063817,100,WIN,853872,14.23,3,1,4,2,17,3,1,2,2
KR_8346063817,200,LOSE,853872,14.23,3,3,0,3,12,5,4,1,0
KR_8343083944,100,LOSE,885313,14.76,0,2,0,1,14,4,2,2,0
KR_8343083944,200,WIN,885313,14.76,1,0,1,0,17,4,1,1,2
KR_8341979729,100,WIN,1076735,17.95,4,3,0,3,66,9,1,1,1
KR_8341979729,200,LOSE,1076735,17.95,2,6,1,3,26,3,3,2,1
KR_8341741662,100,LOSE,764613,12.74,2,3,0,2,42,1,2,3,0
KR_8341741662,200,WIN,764613,12.74,4,0,0,1,9,5,0,0,1
KR_8341675387,100,LOSE,747648,12.46,2,4,2,2,13,3,2,0,0
KR_8341675387,200,WIN,747648,12.46,5,3,0,1,45,3,0,3,2
KR_8338645568,100,LOSE,828638,13.81,1,4,0,1,13,1,1,3,0
KR_8338645568,200,WIN,828638,13.81,4,1,1,0,15,2,2,0,1
KR_8337535069,100,LOSE,945602,15.76,2,5,0,1,18,4,3,3,0
