matchId,teamId,win,adc_championName,adc_masteryPoints,adc_masteryLevel,support_championName,support_masteryPoints,support_masteryLevel
KR_8349104246,100,True,Kalista,271315,27,Renata,23832,5
KR_8349104246,200,False,Irelia,1245439,116,Rell,574602,55
KR_8348544966,100,True,Yunara,69650,9,Nautilus,858554,81
KR_8348544966,200,False,Kalista,271315,27,Renata,69768,9
KR_8348502172,100,False,Ziggs,44042,7,Shen,125938,14
KR_8348502172,200,True,Jhin,79312,10,Nautilus,858554,81
KR_8352986657,100,False,Cassiopeia,505068,49,Sona,1551333,134
KR_8352986657,200,True,Yunara,154062,17,Nautilus,281109,28
KR_8352951958,100,False,Ezreal,145007,16,Rell,166828,18
KR_8352951958,200,True,Cassiopeia,505068,49,Nautilus,127357,14
KR_8349866048,100,False,Jhin,290424,29,Alistar,240279,24
KR_8349866048,200,True,Cassiopeia,505068,49,Leona,221842,23
KR_8349768600,100,True,Syndra,83048,10,JarvanIV,10748,3
KR_8349768600,200,False,Cassiopeia,505068,49,Nautilus,65948,9
KR_8349692884,100,True,Ezreal,398548,39,Bard,294125,29
KR_8349692884,200,False,Cassiopeia,505068,49,Nautilus,325195,32
KR_8354835865,100,True,Zeri,2631,2,Taric,152885,17
KR_8354835865,200,False,Syndra,5283,2,Nautilus,607978,58
KR_8351825608,100,False,Caitlyn,301447,30,Karma,14306,4
KR_8351825608,200,True,Ezreal,372901,37,Rakan,48972,7
KR_8351778487,100,False,Ezreal,131463,15,Karma,53398,7
KR_8351778487,200,True,Lucian,34915,6,Yuumi,179292,19
KR_8350249693,100,True,Xayah,37003,6,Rakan,519101,50
KR_8350249693,200,False,Kaisa,385612,38,Rell,76878,10
KR_8350221429,100,False,Viktor,2977,2,Trundle,65704,9
KR_8350221429,200,True,Syndra,35732,6,Skarner,171124,18
KR_8350163257,100,False,Xayah,162684,17,Alistar,163215,17
KR_8350163257,200,True,Kaisa,241987,25,Rell,127513,14
KR_8355188641,100,False,Caitlyn,228239,23,Bard,26485,5
KR_8355188641,200,True,Cassiopeia,57458,8,Nautilus,31742,6
KR_8349819732,100,True,Jhin,55487,8,Karma,255706,26
KR_8349819732,200,False,MissFortune,126056,14,Bard,417008,41
KR_8353972020,100,False,Ziggs,6345,3,Pyke,778394,73
KR_8353972020,200,True,Taliyah,403380,39,Poppy,436034,42
KR_8353924006,100,True,Kalista,190499,20,Renata,275614,28
KR_8353924006,200,False,Ezreal,1079305,101,Rell,758125,72
KR_8353622771,100,False,Zeri,13487,4,Rakan,76853,10
KR_8353622771,200,True,MissFortune,77096,10,Poppy,70692,9
KR_8352720856,100,False,Aphelios,326915,32,Thresh,42511,6
KR_8352720856,200,True,Jinx,116835,13,Lulu,1189,1
KR_8349106255,100,True,Tristana,227685,23,Bard,25472,5
KR_8349106255,200,False,Corki,91647,11,Rell,7958,3
KR_8347118210,100,False,Corki,23078,5,Rakan,227428,23
KR_8347118210,200,True,Lucian,671771,64,Milio,62439,8
KR_8346161118,100,True,Ezreal,959551,90,Bard,13330,4
KR_8346161118,200,False,Tristana,15117,4,Nautilus,46083,7
KR_8346063817,100,True,Viktor,226227,23,Nautilus,62683,8
KR_8346063817,200,False,Qiyana,930514,86,Rell,6003201,501
KR_8343083944,100,False,Sylas,654472,62,Alistar,466246,45
KR_8343083944,200,True,Ziggs,3646,2,Rell,166828,18
KR_8341979729,100,True,Jhin,7424,3,Bard,307569,31
KR_8341979729,200,False,Yunara,38778,6,Lulu,32020,6
KR_8341940671,100,True,Jhin,7424,3,Shen,61360,8
KR_8341940671,200,False,Ezreal,171481,18,Karma,59646,8
KR_8341741662,100,False,Caitlyn,211606,22,Bard,374806,37
KR_8341741662,200,True,Kaisa,51184,7,Nautilus,75298,9
KR_8341675387,100,False,Corki,125973,14,Anivia,1784489,165
KR_8341675387,200,True,Yunara,252131,26,Bard,374806,37
KR_8338645568,100,False,Tristana,76931,10,Lulu,223544,23
KR_8338645568,200,True,Ashe,71185,9,Poppy,387726,38
KR_8337535069,100,False,Syndra,9142,3,Alistar,96699,11
KR_8337535069,200,True,Hwei,9075,3,Shen,31570,5
KR_8337457114,100,True,Velkoz,280055,28,Taric,1650069,152
KR_8337457114,200,False,Cassiopeia,27893,5,Leona,498803,48
KR_8337423336,100,True,Tristana,13700,4,Poppy,81488,10
KR_8337423336,200,False,Yasuo,45516,7,Taric,1650069,152
KR_8354437600,100,True,Syndra,131910,15,Camille,51679,7
KR_8354437600,200,False,Caitlyn,148643,16,Bard,51121,7
KR_8353424341,100,False,Zoe,1082604,98,Nautilus,6049,3
KR_8353424341,200,True,Ziggs,184504,19,Blitzcrank,26223,5
KR_8353326098,100,True,Ezreal,10855,3,Rell,548659,53
KR_8353326098,200,False,Jhin,65132,9,Nautilus,557877,53
KR_8352274175,100,False,Kalista,20952,4,Pantheon,61577,8
KR_8352274175,200,True,Jhin,679185,64,Velkoz,280055,28
KR_8348957369,100,True,Kaisa,166943,18,Rell,6224,3
KR_8348957369,200,False,Xayah,30504,5,Sylas,39772,6
KR_8348036329,100,False,Jhin,852321,80,Annie,2057383,162
KR_8348036329,200,True,Zeri,82062,10,Camille,47019,7
KR_8344447118,100,False,Ezreal,6310,3,Bard,79599,10
KR_8344447118,200,True,Kaisa,24524,5,Skarner,1556916,144
KR_8344300040,100,False,Corki,68057,9,Pantheon,35568,6
KR_8344300040,200,True,Kaisa,166943,18,Pyke,60920,8
