matchId,teamId,win,laneEventTimestampMs,laneOutcome,adc_kills,adc_deaths,support_kills,support_deaths,jungle_kills,jungle_deaths,support_wardsPlaced,team_hordeKills,team_dragonKills,adc_masteryPoints,support_masteryPoints
KR_8351496431,100,True,835862,WIN,0,1,1,0,4,2,16,2,1,1904210,151363
KR_8351496431,200,False,835862,LOSE,0,1,0,2,1,2,14,1,0,23648,423032
KR_8351445185,100,True,892201,WIN,1,2,0,3,3,0,10,3,2,565735,43200
KR_8351445185,200,False,892201,LOSE,1,0,0,4,2,3,47,0,0,22876,585069
KR_8351063357,100,False,851868,WIN,4,4,0,2,3,2,12,1,0,198171,17372
KR_8351063357,200,True,851868,LOSE,3,2,1,3,4,1,10,2,1,53656,330040
KR_8350978218,100,False,946202,WIN,1,4,2,3,2,4,6,3,1,169196,247018
KR_8350978218,200,True,946202,LOSE,3,2,0,3,8,1,20,0,1,1000704,124023
KR_8350871250,100,False,836575,LOSE,1,7,3,6,4,2,17,3,0,360999,29060
KR_8350871250,200,True,836575,WIN,2,5,7,2,5,1,14,0,2,23276,213268
KR_8350809347,100,True,1005076,WIN,2,3,1,2,1,2,16,1,2,372901,8308
KR_8350809347,200,False,1005076,LOSE,1,3,2,1,2,0,11,2,0,564006,22091
KR_8350735423,100,True,1036033,LOSE,4,2,2,8,1,3,20,3,1,74279,172803
KR_8350735423,200,False,1036033,WIN,5,4,1,2,4,0,27,0,1,78087,11435
KR_8350678499,100,False,861560,LOSE,2,5,0,1,4,1,15,0,0,1616266,13773
KR_8350678499,200,True,861560,WIN,2,3,1,2,5,1,12,3,2,25565,13564
KR_8350621933,100,True,854562,WIN,7,0,0,0,6,0,13,3,1,137771,1081
KR_8350621933,200,False,854562,LOSE,1,5,0,3,0,3,11,0,0,34164,11956
KR_8350566412,100,False,910182,LOSE,3,6,1,7,2,0,15,3,1,272196,108181
KR_8350566412,200,True,910182,WIN,3,2,5,3,5,1,13,0,1,360999,622934
KR_8350494333,100,False,882696,LOSE,3,3,2,2,1,3,7,3,0,37966,22091
KR_8350494333,200,True,882696,WIN,1,4,1,1,6,2,13,0,1,55920,23395
KR_8350405366,100,False,700938,WIN,3,1,0,1,5,1,10,3,0,584216,20880
KR_8350405366,200,True,700938,LOSE,0,3,2,3,1,2,7,0,1,12142,607978
KR_8349236766,100,False,964126,LOSE,2,3,2,2,3,3,14,3,2,339300,645187
KR_8349236766,200,True,964126,WIN,2,2,2,0,6,4,19,0,0,131109,382755
KR_8349160550,100,True,913239,WIN,4,4,0,3,3,3,19,3,1,226227,92882
KR_8349160550,200,False,913239,LOSE,2,3,0,5,6,2,18,0,1,48179,551062
KR_8349104246,100,True,837075,LOSE,0,5,1,5,3,1,11,3,0,271315,23832
KR_8349104246,200,False,837075,WIN,5,2,2,1,5,2,21,0,1,1245439,574602
KR_8348544966,100,True,1124043,WIN,3,7,2,5,5,2,31,3,1,69650,858554
KR_8348544966,200,False,1124043,LOSE,8,7,1,2,6,2,26,0,1,271315,69768
KR_8348502172,100,False,911747,LOSE,2,2,1,4,3,3,57,2,1,44042,125938
KR_8348502172,200,True,911747,WIN,4,3,1,2,5,4,22,1,0,79312,858554
KR_8352986657,100,False,909812,LOSE,3,5,2,3,0,4,15,0,1,505068,1551333
KR_8352986657,200,True,909812,WIN,0,2,2,2,6,1,16,3,1,154062,281109
